IEEE,SR_V1,SR_V2,DSR,CDSR,VICON,TIME
74.0,74.0,74.0,74.0,74.0,87.1717,1410891.6666666667
74.0,74.0,74.0,74.0,74.0,87.1849,1410909.3333333333
74.0,74.0,74.0,74.0,74.0,87.1849,1410927.0
74.0,74.0,74.0,74.0,74.0,87.1723,1410943.3333333333
74.0,74.0,74.0,74.0,74.0,87.1796,1410959.6666666667
73.0,73.0,73.0,74.0,74.0,87.1773,1410976.0
73.0,73.0,73.0,74.0,74.0,87.1812,1410993.3333333333
73.0,73.0,73.0,74.0,74.0,87.1745,1411010.6666666667
73.0,74.0,74.0,75.0,75.0,87.1890,1411028.0
73.0,74.0,74.0,75.0,75.0,87.1732,1411044.3333333333
73.0,74.0,74.0,75.0,75.0,87.1771,1411060.6666666667
70.0,70.0,70.0,70.0,70.0,87.1861,1411077.0
70.0,70.0,70.0,70.0,70.0,87.1749,1411093.0
70.0,70.0,70.0,70.0,70.0,87.1727,1411109.0
70.0,72.0,72.0,74.0,74.0,87.1744,1411125.0
70.0,72.0,72.0,74.0,74.0,87.1825,1411141.6666666667
70.0,72.0,72.0,74.0,74.0,87.1452,1411158.3333333333
70.0,70.0,70.0,71.0,71.0,87.1741,1411175.0
70.0,70.0,70.0,71.0,71.0,87.1731,1411191.0
70.0,70.0,70.0,71.0,71.0,87.1785,1411207.0
70.0,69.0,69.0,70.0,70.0,87.1715,1411223.0
70.0,69.0,69.0,70.0,70.0,87.1857,1411240.3333333333
70.0,69.0,69.0,70.0,70.0,87.1723,1411257.6666666667
73.0,73.0,73.0,75.0,75.0,87.1713,1411275.0
73.0,73.0,73.0,75.0,75.0,87.1713,1411291.6666666667
73.0,73.0,73.0,75.0,75.0,87.1713,1411308.3333333333
73.0,71.0,71.0,72.0,72.0,87.1763,1411325.0
73.0,71.0,71.0,72.0,72.0,87.1763,1411342.0
73.0,71.0,71.0,72.0,72.0,87.1695,1411359.0
73.0,73.0,73.0,74.0,74.0,87.1835,1411376.0
73.0,73.0,73.0,74.0,74.0,87.1841,1411392.3333333333
73.0,73.0,73.0,74.0,74.0,87.1732,1411408.6666666667
73.0,71.0,71.0,70.0,70.0,87.1854,1411425.0
73.0,71.0,71.0,70.0,70.0,87.1854,1411441.3333333333
73.0,71.0,71.0,70.0,70.0,87.1809,1411457.6666666667
69.0,69.0,69.0,69.0,69.0,87.1776,1411474.0
69.0,69.0,69.0,69.0,69.0,87.1635,1411490.3333333333
69.0,69.0,69.0,69.0,69.0,87.1903,1411506.6666666667
69.0,71.0,71.0,74.0,74.0,87.1864,1411523.0
69.0,71.0,71.0,74.0,74.0,87.1802,1411539.3333333333
69.0,71.0,71.0,74.0,74.0,87.1820,1411555.6666666667
72.0,72.0,72.0,73.0,73.0,87.1761,1411572.0
72.0,72.0,72.0,73.0,73.0,87.1823,1411589.0
72.0,72.0,72.0,73.0,73.0,87.1762,1411606.0
72.0,70.0,70.0,71.0,71.0,87.1755,1411623.0
72.0,70.0,70.0,71.0,71.0,87.1799,1411640.0
72.0,70.0,70.0,71.0,71.0,87.1767,1411657.0
71.0,71.0,71.0,72.0,72.0,87.1714,1411674.0
71.0,71.0,71.0,72.0,72.0,87.1752,1411691.3333333333
71.0,71.0,71.0,72.0,72.0,87.1694,1411708.6666666667
